X  CH2  CH3  Start  Increment  
Sequence  Volt  Volt  -1.200000e-03  2.000000e-06  
0  1.68  0.0164  -0.0012  2e-06  
1  1.72  0.016  -0.001198  2e-06  
2  1.72  0.016  -0.001196  2e-06  
3  1.64  0.0164  -0.001194  2e-06  
4  1.68  0.0156  -0.001192  2e-06  
5  1.72  0.0164  -0.00119  2e-06  
6  1.64  0.016  -0.001188  2e-06  
7  1.72  0.0156  -0.001186  2e-06  
8  1.72  0.016  -0.001184  2e-06  
9  1.64  0.0156  -0.001182  2e-06  
10  1.68  0.016  -0.00118  2e-06  
11  1.68  0.0156  -0.001178  2e-06  
12  1.68  0.0156  -0.001176  2e-06  
13  1.64  0.0164  -0.001174  2e-06  
14  1.68  0.0156  -0.001172  2e-06  
15  1.6  0.0156  -0.00117  2e-06  
16  1.68  0.0156  -0.001168  2e-06  
17  1.6  0.0152  -0.001166  2e-06  
18  1.68  0.0156  -0.001164  2e-06  
19  1.6  0.0148  -0.001162  2e-06  
20  1.64  0.0152  -0.00116  2e-06  
21  1.68  0.0152  -0.001158  2e-06  
22  1.64  0.0152  -0.001156  2e-06  
23  1.6  0.0148  -0.001154  2e-06  
24  1.64  0.0148  -0.001152  2e-06  
25  1.6  0.0144  -0.00115  2e-06  
26  1.56  0.0148  -0.001148  2e-06  
27  1.64  0.014  -0.001146  2e-06  
28  1.56  0.0144  -0.001144  2e-06  
29  1.64  0.014  -0.001142  2e-06  
30  1.64  0.0144  -0.00114  2e-06  
31  1.56  0.0136  -0.001138  2e-06  
32  1.6  0.014  -0.001136  2e-06  
33  1.52  0.0132  -0.001134  2e-06  
34  1.6  0.014  -0.001132  2e-06  
35  1.52  0.0132  -0.00113  2e-06  
36  1.52  0.0136  -0.001128  2e-06  
37  1.6  0.0128  -0.001126  2e-06  
38  1.56  0.0132  -0.001124  2e-06  
39  1.48  0.0128  -0.001122  2e-06  
40  1.56  0.0132  -0.00112  2e-06  
41  1.48  0.012  -0.001118  2e-06  
42  1.48  0.0128  -0.001116  2e-06  
43  1.56  0.012  -0.001114  2e-06  
44  1.52  0.0124  -0.001112  2e-06  
45  1.44  0.0116  -0.00111  2e-06  
46  1.52  0.012  -0.001108  2e-06  
47  1.44  0.0112  -0.001106  2e-06  
48  1.48  0.0116  -0.001104  2e-06  
49  1.4  0.0108  -0.001102  2e-06  
50  1.4  0.0112  -0.0011  2e-06  
51  1.48  0.0104  -0.001098  2e-06  
52  1.44  0.0108  -0.001096  2e-06  
53  1.36  0.01  -0.001094  2e-06  
54  1.36  0.0104  -0.001092  2e-06  
55  1.44  0.0096  -0.00109  2e-06  
56  1.4  0.01  -0.001088  2e-06  
57  1.32  0.0092  -0.001086  2e-06  
58  1.32  0.01  -0.001084  2e-06  
59  1.4  0.0088  -0.001082  2e-06  
60  1.36  0.0092  -0.00108  2e-06  
